char_len,word_count,sentence_count,exclamation_count,question_count,upper_ratio,digit_ratio,url_count,email_count,html_tag_count,has_html,attachment_hint,unsubscribe_count,money_symbol_count,phone_pattern_count,punctuation_density,spam_keyword_count,promo_keyword_count,too_many_links,repeated_char_flag
1249,224,13,0,0,0.0,0.010408326661329063,0,0,0,0,0,0,0,0,0.03282626100880705,1,1,0,0
2446,428,20,0,2,0.0,0.026573998364677023,0,0,0,0,0,0,0,0,0.047424366312346686,0,4,0,0
299,44,5,0,1,0.07575757575757576,0.0,1,1,1,1,0,0,0,0,0.19732441471571907,0,0,0,1
323,46,2,2,0,0.0,0.04953560371517028,0,0,0,0,0,0,0,0,0.0804953560371517,0,0,0,0
2672,484,32,0,2,0.0,0.005239520958083832,0,0,0,0,0,0,0,0,0.02282934131736527,0,2,0,0
8898,1547,88,6,2,0.07879473758664592,0.009665093279388626,4,1,0,0,1,1,1,3,0.02191503708698584,20,20,1,1
4148,639,38,3,1,0.0810149801284011,0.016875602700096432,0,0,0,0,1,1,0,0,0.03326904532304725,12,12,0,1
423,59,2,0,0,0.0,0.06382978723404255,0,0,0,0,0,0,0,0,0.13947990543735225,0,0,0,0
356,65,7,2,0,0.0,0.07303370786516854,0,0,0,0,0,0,0,0,0.033707865168539325,1,3,0,0
2945,469,39,2,3,0.0,0.022071307300509338,0,0,0,0,0,0,0,0,0.06553480475382004,2,2,0,0
1957,356,14,1,1,0.0,0.01992846193152785,0,0,0,0,0,0,0,0,0.020950434338272865,0,3,0,0
1494,237,9,0,0,0.0,0.06827309236947791,0,0,0,0,0,0,0,0,0.09236947791164658,0,1,0,0
264,50,10,0,2,0.05472636815920398,0.0,1,0,0,0,0,0,0,0,0.04924242424242424,0,0,0,0
3499,559,20,0,1,0.0,0.07030580165761646,0,0,0,0,0,0,1,0,0.07030580165761646,3,6,0,0
3525,624,30,0,1,0.0,0.01276595744680851,0,0,0,0,0,0,0,0,0.03829787234042553,2,7,0,0
900,152,12,2,1,0.09241379310344827,0.005555555555555556,0,0,0,0,0,3,0,0,0.02,7,4,0,0
353,59,7,0,0,0.0,0.17280453257790368,0,0,0,0,0,0,5,0,0.025495750708215296,0,1,0,0
678,111,8,1,0,0.0,0.0,0,0,0,0,1,0,0,0,0.02654867256637168,1,2,0,0
303,56,2,0,0,0.0,0.13861386138613863,0,0,0,0,0,0,0,0,0.019801980198019802,0,4,0,0
1155,171,4,0,0,0.0,0.03896103896103896,0,0,0,0,1,0,0,0,0.0658008658008658,2,5,0,0
823,140,7,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.014580801944106925,0,3,0,0
277,47,4,0,0,0.0,0.07581227436823104,0,0,0,0,0,0,1,0,0.032490974729241874,0,1,0,1
508,81,1,0,0,0.0,0.007874015748031496,0,0,0,0,0,0,0,0,0.0,0,0,0,0
486,80,9,3,0,0.0,0.03497942386831276,0,0,0,0,0,0,0,0,0.0411522633744856,1,1,0,0
